# period,game-ver,lobby-mode,lobby,mode,stage,time,win,knockout,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-rank,A1-level,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-rank,A2-level,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-rank,A3-level,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-rank,A4-level,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-rank,B1-level,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-rank,B2-level,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-rank,B3-level,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-rank,B4-level
2018-03-13T14:00:00+00:00,2.3.1,regular,standard,nawabari,bbass,180,bravo,FALSE,clashblaster,4,3,1,0,1,475,,31,sshooter,7,7,0,3,2,802,,3,bottlegeyser,6,4,2,4,3,721,,16,l3reelgun,0,0,0,0,0,0,,22,sshooter,1,1,0,2,1,725,,35,promodeler_mg,3,2,1,6,2,528,,28,splatroller_collabo,0,0,0,5,1,465,,15,splatroller,4,4,0,1,2,457,,24
2018-03-18T06:00:00+00:00,2.3.2,regular,standard,nawabari,battera,180,bravo,FALSE,herobrush_replica,4,4,0,5,2,794,,44,maneuver,8,6,2,4,2,844,,63,splatscope,2,2,0,3,1,648,,73,clashblaster,4,3,1,5,1,575,,34,sshooter_collabo,5,5,0,3,3,1045,,43,hotblaster,11,10,1,4,2,785,,8,herocharger_replica,0,0,0,4,1,618,,44,splatscope,3,2,1,4,1,556,,79
2018-03-18T10:00:00+00:00,2.3.2,regular,standard,nawabari,kombu,180,alpha,FALSE,pablo_hue,7,5,2,4,2,775,,28,52gal,3,3,0,4,2,870,,14,splatscope,3,3,0,1,3,846,,18,splatroller,1,1,0,6,0,324,,7,quadhopper_black,1,1,0,4,2,944,,33,splatroller,9,9,0,4,2,808,,9,splatroller,4,4,0,4,2,732,,48,soytuber,0,0,0,0,0,0,,26
2018-03-18T10:00:00+00:00,2.3.2,regular,standard,nawabari,ama,180,alpha,FALSE,pablo_hue,3,2,1,5,1,594,,28,heromaneuver_replica,9,9,0,1,4,930,,48,splatscope,1,1,0,0,2,621,,18,maneuver,0,0,0,0,0,0,,4,quadhopper_black,2,2,0,5,2,705,,33,splatroller,0,0,0,4,1,558,,8,52gal,0,0,0,0,1,0,,14,splatroller,3,3,0,3,0,0,,9
2018-03-18T10:00:00+00:00,2.3.2,regular,standard,nawabari,kombu,180,alpha,FALSE,pablo_hue,7,6,1,4,3,849,,28,promodeler_mg,5,3,2,3,2,924,,16,splatroller,2,2,0,3,2,717,,8,heromaneuver_replica,8,8,0,5,1,707,,48,bold,8,7,1,4,2,1186,,20,quadhopper_black,5,5,0,4,3,875,,33,splatscope,0,0,0,5,1,545,,18,splatroller_collabo,3,3,0,6,1,518,,20
2018-03-18T12:00:00+00:00,2.3.2,gachi,standard,area,mozuku,122,alpha,TRUE,promodeler_rg,2,1,1,1,1,396,b-,28,hokusai_hue,6,6,0,0,2,422,b-,44,sshooter,5,4,1,3,1,398,b-,40,rapid_elite,7,4,3,0,1,383,b,49,nzap85,2,1,1,5,1,420,b-,34,screwslosher,2,2,0,5,1,298,b-,37,splatroller,1,1,0,1,1,0,b-,31,sputtery,0,0,0,4,1,0,b,28
2018-03-18T12:00:00+00:00,2.3.2,gachi,standard,area,hakofugu,234,alpha,TRUE,promodeler_rg,5,2,3,6,3,862,b-,28,sshooter,10,9,1,5,2,859,b+,54,rapid,5,5,0,2,2,753,b,83,splatroller,9,9,0,7,0,595,b,39,hokusai_hue,9,7,2,6,4,945,b,46,sshooter,6,4,2,5,3,919,b,47,clashblaster,7,4,3,6,1,643,b,78,splatroller,5,5,0,8,1,583,b-,57
2018-03-18T12:00:00+00:00,2.3.2,gachi,standard,area,mozuku,122,bravo,TRUE,promodeler_rg,3,3,0,4,2,482,b-,28,quadhopper_black,3,2,1,3,3,497,b-,40,carbon,3,2,1,3,2,473,b-,42,squiclean_a,4,2,2,4,1,318,b-,49,nzap85,7,5,2,1,2,529,b-,48,carbon,4,2,2,4,1,480,b,44,prime,5,4,1,3,1,475,b,88,splatscope,4,3,1,1,1,370,b-,69
2018-03-18T12:00:00+00:00,2.3.2,gachi,standard,area,hakofugu,101,alpha,TRUE,promodeler_rg,0,0,0,3,1,311,b-,28,splatroller,6,5,1,2,1,401,b-,39,parashelter,5,5,0,1,1,284,b-,31,quadhopper_black,2,0,2,2,0,281,b,25,bold,3,3,0,2,2,465,b-,28,splatroller,4,4,0,3,1,353,b+,40,barrelspinner,1,0,1,2,1,253,b+,40,sshooter,2,1,1,3,0,196,b-,49
2018-03-18T12:00:00+00:00,2.3.2,gachi,standard,area,mozuku,235,bravo,TRUE,promodeler_mg,4,4,0,6,3,793,b-,28,splatroller,11,11,0,3,2,1008,b-,34,splatcharger_collabo,7,5,2,5,2,697,b-,55,heroshooter_replica,3,2,1,6,1,0,b-,42,dualsweeper,5,4,1,5,3,1057,b-,31,momiji,10,9,1,5,3,967,b-,86,bucketslosher,5,5,0,4,4,838,b-,31,splatroller_collabo,2,2,0,8,2,455,b-,53
