# period,game-ver,lobby-mode,lobby,mode,stage,time,win,knockout,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-rank,A1-level,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-rank,A2-level,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-rank,A3-level,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-rank,A4-level,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-rank,B1-level,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-rank,B2-level,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-rank,B3-level,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-rank,B4-level
2018-06-03T02:00:00+00:00,3.0.1,gachi,squad_2,yagura,devon,300,bravo,FALSE,nzap85,9,7,2,14,1,786,s+,71,clashblaster_neo,8,7,1,15,0,549,s+,57,squiclean_a,5,3,2,11,2,746,b+,58,carbon,10,9,1,14,0,377,a,56,liter4k_custom,9,8,1,3,5,737,s+,47,clashblaster_neo,13,10,3,11,2,363,a,43,maneuver_collabo,24,20,4,7,3,866,b,47,hokusai,18,16,2,5,0,703,a+,49
2018-06-03T02:00:00+00:00,3.0.1,gachi,squad_2,yagura,devon,254,bravo,TRUE,nzap85,14,13,1,8,2,911,s+,71,momiji,0,0,0,6,0,344,b-,42,clashblaster_neo,8,5,3,11,0,482,s+,57,heroshooter_replica,6,5,1,8,1,829,a,75,barrelspinner_deco,15,14,1,7,0,652,s+,74,sshooter,11,8,3,4,3,786,s+,54,sharp,8,4,4,8,1,395,b+,27,rapid_elite,12,7,5,4,4,751,a+,50
2018-06-03T02:00:00+00:00,3.0.1,gachi,squad_2,yagura,gangaze,300,bravo,FALSE,nzap85,13,10,3,12,1,844,s+,71,clashblaster_neo,11,8,3,11,2,588,s+,57,screwslosher_neo,14,10,4,10,3,963,b+,26,quadhopper_black,5,3,2,11,2,849,b+,32,dualsweeper,11,8,3,7,6,1356,a-,44,splatroller,17,17,0,7,0,702,s+,80,herobrush_replica,9,8,1,11,2,619,a,41,clashblaster,14,11,3,7,1,791,a+,40
2018-06-10T18:00:00+00:00,3.0.1,gachi,standard,asari,chozame,196,bravo,TRUE,nzap89,5,4,1,6,2,668,s+,71,clashblaster,5,3,2,5,1,431,s+,74,heroslosher_replica,5,5,0,5,2,731,s+,65,spygadget_sorella,6,4,2,4,4,896,s+,69,sputtery_hue,5,2,3,4,3,1027,s+,66,dualsweeper_custom,6,6,0,3,2,887,s+,93,maneuver_collabo,8,5,3,4,2,591,s+,68,sharp_neo,7,6,1,5,2,833,s+,57
2018-06-10T18:00:00+00:00,3.0.1,gachi,standard,asari,chozame,300,bravo,FALSE,nzap89,6,5,1,7,2,1072,s+,71,sharp_neo,3,2,1,6,3,1305,s+,85,heroroller_replica,9,9,0,9,2,838,s+,53,dualsweeper,14,7,7,5,5,1130,s+,49,sharp_neo,1,1,0,6,3,1209,s+,44,nzap85,12,7,5,7,5,1097,s+,131,hokusai_hue,12,11,1,9,2,1075,s+,79,dualsweeper_custom,11,7,4,1,6,1364,s+,96
2018-06-22T14:00:00+00:00,3.1.0,regular,standard,nawabari,battera,180,bravo,FALSE,dualsweeper_custom,3,0,3,2,4,1161,,48,sharp_neo,8,8,0,5,2,921,,66,carbon,1,1,0,5,0,429,,7,bamboo14mk1,5,5,0,4,2,608,,42,hokusai,4,4,0,2,2,597,,18,dualsweeper_custom,11,8,3,3,4,1252,,115,dualsweeper,1,1,0,5,2,546,,121,dualsweeper_custom,7,3,4,4,2,833,,54
2018-06-22T14:00:00+00:00,3.1.0,regular,standard,nawabari,bbass,180,alpha,FALSE,dualsweeper_custom,1,1,0,2,3,1038,,48,splatroller,4,3,1,3,0,676,,108,momiji,3,3,0,3,4,1246,,78,rapid_deco,1,1,0,3,1,584,,23,nzap89,5,3,2,3,2,756,,78,wakaba,5,2,3,3,3,915,,70,carbon,3,3,0,2,2,666,,41,promodeler_rg,3,3,0,0,1,1182,,64
2018-06-22T14:00:00+00:00,3.1.0,regular,standard,nawabari,battera,180,alpha,FALSE,dualsweeper_custom,2,0,2,1,3,1187,,48,maneuver,4,3,1,3,2,722,,107,sputtery,7,7,0,3,2,955,,65,momiji,2,1,1,0,4,1005,,55,nzap85,2,1,1,3,3,971,,92,sshooter,0,0,0,3,1,1056,,39,dualsweeper_custom,4,4,0,1,3,984,,51,splatcharger,2,2,0,4,0,468,,105
2018-06-23T18:00:00+00:00,3.1.0,fest,squad_4,nawabari,mystery,180,alpha,FALSE,bucketslosher_deco,7,6,1,3,3,934,,75,sputtery_hue,5,3,2,4,3,878,,128,splatroller,1,1,0,4,2,551,,56,dualsweeper_custom,1,1,0,2,3,898,,60,hokusai_hue,4,4,0,3,3,989,,70,pablo_hue,5,3,2,4,2,757,,103,screwslosher_neo,2,1,1,6,1,563,,64,barrelspinner_deco,6,5,1,0,3,965,,109
2018-06-23T18:00:00+00:00,3.1.0,fest,squad_4,nawabari,mystery,180,alpha,FALSE,bucketslosher_deco,4,3,1,1,2,785,,75,dualsweeper_custom,7,4,3,1,3,1021,,60,sputtery_hue,5,2,3,4,2,755,,128,splatroller,6,6,0,3,2,728,,56,dualsweeper,4,2,2,3,3,1044,,59,maneuver,2,2,0,5,0,527,,18,prime_collabo,2,0,2,1,2,799,,43,heroroller_replica,6,5,1,7,0,422,,39
