# period,game-ver,lobby-mode,lobby,mode,stage,time,win,knockout,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-rank,A1-level,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-rank,A2-level,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-rank,A3-level,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-rank,A4-level,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-rank,B1-level,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-rank,B2-level,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-rank,B3-level,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-rank,B4-level
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,engawa,180,alpha,FALSE,nzap85,4,3,1,4,3,948,,29,bold,2,2,0,3,3,1049,,88,nzap85,1,0,1,3,2,863,,86,prime,0,0,0,3,2,794,,52,bucketslosher_deco,5,2,3,3,3,1014,,28,barrelspinner_deco,5,3,2,0,4,987,,66,dynamo_tesla,8,7,1,2,3,948,,52,campingshelter,1,1,0,2,3,578,,70
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,mystery,180,bravo,FALSE,nzap85,5,1,4,2,3,929,,29,jetsweeper,5,3,2,3,3,897,,61,rapid_deco,1,1,0,4,3,763,,88,hotblaster,8,8,0,4,2,744,,92,sharp_neo,6,4,2,2,3,1261,,76,rapid_elite,5,5,0,3,3,1004,,109,h3reelgun,6,2,4,2,3,879,,91,heroshooter_replica,3,2,1,6,0,527,,106
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,fujitsubo,180,bravo,FALSE,nzap85,2,1,1,7,2,768,,29,nzap89,7,6,1,5,1,809,,69,nzap89,5,4,1,6,1,733,,81,splatcharger,4,3,1,5,1,732,,64,rapid_elite,9,5,4,2,3,939,,106,dualsweeper,12,11,1,4,2,910,,45,wakaba,7,2,5,3,2,869,,43,heroroller_replica,5,5,0,5,2,604,,62
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,fujitsubo,180,bravo,FALSE,nzap85,2,1,1,5,3,860,,29,h3reelgun_d,2,1,1,5,2,859,,90,sshooter,2,1,1,5,0,649,,70,nzap85,4,3,1,7,0,589,,86,splatspinner_collabo,9,6,3,1,4,1467,,179,dynamo_tesla,8,6,2,2,2,754,,104,carbon,9,5,4,1,2,544,,70,heroroller_replica,5,5,0,2,1,501,,97
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,engawa,180,bravo,FALSE,nzap85,8,5,3,3,3,866,,29,liter4k_scope,3,3,0,1,3,937,,77,jetsweeper_custom,5,4,1,3,2,777,,56,splatroller,4,4,0,6,2,759,,39,bold,4,4,0,6,3,1093,,78,parashelter,5,4,1,4,2,916,,54,sshooter_collabo,1,1,0,2,3,874,,103,splatscope,3,3,0,4,2,684,,77
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,engawa,180,bravo,FALSE,nzap85,4,4,0,7,2,716,,29,jetsweeper_custom,5,3,2,2,2,1002,,56,bold,5,4,1,6,1,823,,45,liter4k,2,2,0,0,2,650,,66,maneuver,5,5,0,3,4,963,,58,jetsweeper,2,0,2,3,3,897,,36,bold,3,3,0,3,1,881,,33,heroshooter_replica,8,6,2,5,1,609,,30
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,mystery,180,alpha,FALSE,nzap85,4,2,2,5,3,900,,29,nzap85,10,8,2,2,4,1320,,74,bold,3,2,1,4,2,1150,,43,sshooter_collabo,4,3,1,4,2,802,,46,heroshooter_replica,7,7,0,3,2,1062,,49,sharp_neo,2,2,0,5,3,1021,,105,dynamo_tesla,6,4,2,3,3,913,,74,heroshooter_replica,3,2,1,5,1,832,,78
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,fujitsubo,180,bravo,FALSE,nzap85,3,1,2,6,2,822,,29,hokusai,5,5,0,7,1,789,,60,nzap89,1,1,0,6,2,738,,53,nzap85,2,1,1,8,1,600,,59,maneuver_collabo,16,12,4,4,1,986,,76,sharp_neo,6,5,1,2,3,971,,57,pablo,10,8,2,1,3,905,,84,clashblaster_neo,3,2,1,1,2,583,,85
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,fujitsubo,180,bravo,FALSE,nzap85,3,2,1,6,2,854,,29,sputtery_hue,3,2,1,1,3,1018,,61,splatscope_collabo,5,5,0,3,1,728,,66,wakaba,4,2,2,6,2,708,,82,maneuver_collabo,7,6,1,2,3,960,,68,herospinner_replica,4,3,1,1,2,917,,101,quadhopper_black,8,6,2,5,1,840,,173,promodeler_mg,3,1,2,3,3,834,,32
2018-05-26T14:00:00+00:00,3.0.1,fest,standard,nawabari,fujitsubo,180,alpha,FALSE,nzap85,9,6,3,3,2,912,,29,wakaba,8,7,1,2,3,1000,,79,prime_collabo,10,9,1,2,2,780,,22,nzap89,3,2,1,1,2,680,,30,rapid_elite,5,5,0,3,3,985,,62,nzap85,0,0,0,6,0,759,,60,squiclean_a,1,1,0,7,2,700,,61,heromaneuver_replica,2,2,0,8,0,620,,36
