# period,game-ver,lobby-mode,lobby,mode,stage,time,win,knockout,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-rank,A1-level,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-rank,A2-level,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-rank,A3-level,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-rank,A4-level,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-rank,B1-level,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-rank,B2-level,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-rank,B3-level,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-rank,B4-level
2019-05-26T00:00:00+00:00,4.7.0,regular,standard,nawabari,bbass,180,bravo,,splatroller,4,4,0,6,1,605,,65,momiji,1,1,0,7,1,793,,31,bold_7,2,2,0,7,2,760,,76,sharp_neo,1,1,0,8,1,713,,79,furo,6,4,2,1,3,968,,85,l3reelgun_d,9,9,0,2,4,898,,60,96gal_deco,10,9,1,2,1,772,,93,dynamo,8,6,2,3,2,757,,47
2019-05-26T00:00:00+00:00,4.7.0,regular,standard,nawabari,ajifry,180,alpha,,sshooter,4,1,3,0,2,775,,65,momiji,7,7,0,1,4,1242,,31,l3reelgun_d,6,4,2,4,2,729,,60,soytuber_custom,5,3,2,5,1,573,,47,furo_deco,1,1,0,5,4,994,,79,nzap89,2,2,0,4,3,899,,82,splatcharger,3,3,0,1,2,619,,98,sharp_neo,4,4,0,5,0,607,,139
2019-05-26T02:00:00+00:00,4.7.0,regular,standard,nawabari,otoro,180,bravo,,explosher_custom,1,1,0,2,1,478,,65,splatroller,3,3,0,4,3,878,,49,quadhopper_black,5,4,1,4,2,705,,99,maneuver,0,0,0,7,1,683,,80,furo,5,4,1,2,3,931,,124,sshooter,6,6,0,4,2,907,,56,sputtery_clear,3,2,1,3,2,712,,58,splatcharger,4,4,0,0,1,609,,103
2019-05-28T14:00:00+00:00,4.7.0,gachi,squad_4,yagura,shottsuru,238,bravo,TRUE,prime_becchu,16,15,1,5,2,1030,x,174,sshooter_becchu,5,3,2,9,4,1019,a,50,rapid_elite_deco,7,2,5,7,3,838,x,175,prime_becchu,1,1,0,0,1,0,a-,34,dualsweeper_custom,10,6,4,5,3,999,x,208,herospinner_replica,6,3,3,4,4,908,s+,134,bold,8,7,1,8,2,857,s+,125,splatscope,5,5,0,4,3,788,s+,174
2019-05-30T14:00:00+00:00,4.8.0,gachi,standard,asari,hokke,156,alpha,TRUE,splatroller_collabo,5,4,1,5,0,390,x,150,52gal_becchu,5,5,0,4,2,666,x,77,splatcharger_collabo,4,2,2,3,1,599,x,108,nautilus79,5,5,0,4,1,432,x,112,sputtery_clear,11,11,0,3,1,574,x,199,bucketslosher_deco,2,0,2,5,0,565,x,109,kugelschreiber_hue,3,3,0,4,1,560,x,152,octoshooter_replica,5,2,3,4,1,505,x,146
2019-05-30T14:00:00+00:00,4.8.0,gachi,standard,asari,hokke,309,bravo,FALSE,splatroller_collabo,6,3,3,9,1,568,x,150,jetsweeper,4,4,0,5,7,1398,x,103,sputtery_clear,5,4,1,8,3,1141,x,135,heroblaster_replica,13,10,3,10,4,957,x,277,sshooter_collabo,14,13,1,8,4,1229,x,209,jetsweeper_custom,7,4,3,3,3,1092,x,198,splatscope_collabo,8,8,0,5,3,1022,x,156,nova,8,7,1,5,3,933,x,291
2019-05-30T14:00:00+00:00,4.8.0,gachi,standard,asari,anchovy,324,bravo,FALSE,splatroller_collabo,5,5,0,9,3,839,x,150,dualsweeper,5,2,3,7,7,1703,x,366,l3reelgun,5,5,0,7,5,1462,x,145,prime_collabo,9,8,1,9,3,1002,x,236,spygadget_sorella,16,10,6,2,5,1440,x,237,octoshooter_replica,12,10,2,7,4,1280,x,174,dualsweeper,11,7,4,5,3,1112,x,285,squiclean_b,5,5,0,6,3,1009,x,169
2019-05-30T14:00:00+00:00,4.8.0,gachi,standard,asari,hokke,320,alpha,FALSE,splatroller_collabo,6,6,0,10,0,684,x,150,dualsweeper_custom,13,7,6,5,4,1574,x,272,screwslosher_becchu,10,8,2,8,4,1234,x,90,jetsweeper_custom,11,9,2,3,4,1226,x,323,prime_becchu,7,7,0,5,4,1270,x,201,nzap85,11,9,2,10,5,1243,x,108,squiclean_b,2,2,0,6,3,1118,x,169,sputtery_hue,9,8,1,9,4,1096,x,97
2019-05-30T14:00:00+00:00,4.8.0,gachi,standard,asari,hokke,300,alpha,FALSE,splatroller_collabo,12,11,1,6,3,804,x,150,carbon_deco,13,12,1,8,2,1107,x,249,campingshelter_camo,4,1,3,7,1,887,x,159,sputtery_clear,6,5,1,11,0,846,x,168,pablo,7,5,2,6,3,1114,x,143,dynamo_becchu,9,9,0,6,4,1108,x,204,hotblaster_custom,13,12,1,8,2,844,x,264,splatroller,6,6,0,9,0,802,x,99
2019-05-30T14:00:00+00:00,4.8.0,gachi,standard,asari,anchovy,300,alpha,FALSE,splatroller_collabo,6,5,1,4,3,784,x,150,splatspinner,8,5,3,5,4,1347,x,188,clashblaster_neo,7,5,2,7,3,1151,x,104,jetsweeper_custom,12,9,3,3,4,1124,x,170,pablo,7,5,2,6,3,1294,x,478,campingshelter_camo,8,2,6,6,1,1000,x,159,herocharger_replica,5,5,0,4,4,987,x,192,nzap85,9,7,2,8,3,969,x,122
2019-05-31T04:00:00+00:00,4.8.0,gachi,standard,yagura,shottsuru,262,alpha,TRUE,prime_becchu,9,7,2,4,4,969,x,174,bucketslosher_deco,11,10,1,8,4,1002,x,99,splatroller_collabo,9,6,3,4,4,871,x,153,splatcharger,7,7,0,5,3,851,x,30,longblaster,9,9,0,6,3,964,x,123,herocharger_replica,7,5,2,7,3,881,x,117,carbon_deco,5,4,1,9,1,762,x,76,sshooter_becchu,4,3,1,8,2,740,x,274
2019-05-31T04:00:00+00:00,4.8.0,regular,standard,nawabari,engawa,180,bravo,,longblaster,6,6,0,4,1,665,,174,bucketslosher_soda,2,2,0,3,3,1018,,126,prime,2,1,1,3,3,902,,123,sshooter_becchu,3,2,1,1,3,883,,145,bold_7,3,3,0,2,4,1133,,85,wakaba,5,4,1,2,4,1017,,229,dualsweeper,3,2,1,5,2,764,,94,bucketslosher_soda,3,2,1,3,1,694,,116
2019-05-31T08:00:00+00:00,4.8.0,gachi,standard,area,mutsugoro,203,bravo,TRUE,prime_becchu,3,3,0,7,2,811,x,174,explosher_custom,6,3,3,5,2,1044,x,241,sshooter_collabo,8,6,2,5,2,791,x,207,maneuver_becchu,4,4,0,6,2,655,x,132,96gal,10,5,5,3,6,1194,x,320,splatspinner,9,6,3,5,3,990,x,202,screwslosher_becchu,6,3,3,5,2,750,x,276,sshooter_collabo,7,7,0,3,3,670,x,145
2019-05-31T16:00:00+00:00,4.8.0,gachi,standard,asari,anchovy,308,alpha,FALSE,splatroller_collabo,7,6,1,8,2,714,x,150,sshooter_becchu,9,4,5,4,6,1605,x,81,jetsweeper_custom,13,7,6,1,6,1260,x,182,kelvin525_deco,11,11,0,7,4,751,x,320,jetsweeper,8,7,1,5,6,1288,x,170,nzap85,4,1,3,9,4,1160,x,351,l3reelgun_becchu,7,6,1,7,3,1124,x,130,kugelschreiber_hue,10,6,4,7,2,872,x,90
